,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,genre
69,data/musicCorp/GarlandEncyclopedia/15 Song _Kulilal Ni Puguq_ Accompanied By Tube Zither (Upland Philippines).mp3,15 Song _Kulilal Ni Puguq_ Accompanied By Tube Zither (Upland Philippines),,1,1,5292000,44.1,120,0.39136054421768707,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/15 Song _Kulilal Ni Puguq_ Accompanied By Tube Zither (Upland Philippines)_MS2024.mat,15 Song _Kulilal Ni Puguq_ Accompanied By Tube Zither (Upland Philippines),,world
70,data/musicCorp/GarlandEncyclopedia/8-13 Sweden_ Polska.mp3,8-13 Sweden_ Polska,,0,1,5115600,44.1,116,0.08777777777777777,116,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-13 Sweden_ Polska_MS2024.mat,8-13 Sweden_ Polska,,world
71,data/musicCorp/GarlandEncyclopedia/26 He Mo Leannan.mp3,26 He Mo Leannan,,1,1,4233600,44.1,96,0.6142857142857143,92,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/26 He Mo Leannan_MS2024.mat,26 He Mo Leannan,,world
72,data/musicCorp/GarlandEncyclopedia/31 Wiru Poetic Recitation.mp3,31 Wiru Poetic Recitation,,1,1,2646000,44.1,60,0.5717006802721089,60,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/31 Wiru Poetic Recitation_MS2024.mat,31 Wiru Poetic Recitation,,world
73,data/musicCorp/GarlandEncyclopedia/33 Nongak.mp3,33 Nongak,,0,1,5292000,44.1,120,0.14192743764172336,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/33 Nongak_MS2024.mat,33 Nongak,,world
74,data/musicCorp/GarlandEncyclopedia/11 Ketu Qiuhen _Wayfarer_s Autumn Lament_.mp3,11 Ketu Qiuhen _Wayfarer_s Autumn Lament_,,1,1,5292000,44.1,120,0.19124716553287982,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/11 Ketu Qiuhen _Wayfarer_s Autumn Lament__MS2024.mat,11 Ketu Qiuhen _Wayfarer_s Autumn Lament_,,world
75,"data/musicCorp/GarlandEncyclopedia/30 Falak Folk Song _Ey Shox Sar-I_ _Hey You Impudent Giggler_, Northern AFganistan.mp3","30 Falak Folk Song _Ey Shox Sar-I_ _Hey You Impudent Giggler_, Northern AFganistan",,1,1,4586400,44.1,104,0.8241496598639456,104,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/30 Falak Folk Song _Ey Shox Sar-I_ _Hey You Impudent Giggler_, Northern AFganistan_MS2024.mat","30 Falak Folk Song _Ey Shox Sar-I_ _Hey You Impudent Giggler_, Northern AFganistan",,world
76,data/musicCorp/GarlandEncyclopedia/02 Coiled Chalk Circle.mp3,02 Coiled Chalk Circle,,1,1,5468400,44.1,124,0.5939909297052154,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/02 Coiled Chalk Circle_MS2024.mat,02 Coiled Chalk Circle,,world
77,data/musicCorp/GarlandEncyclopedia/15 Forro De Sanfona (Forro For Accordion).mp3,15 Forro De Sanfona (Forro For Accordion),,0,1,3880800,44.1,88,0.2361904761904762,84,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/15 Forro De Sanfona (Forro For Accordion)_MS2024.mat,15 Forro De Sanfona (Forro For Accordion),,world
78,data/musicCorp/GarlandEncyclopedia/25 Turkish _Alevi_ Song With _ Baglama_ Accompaniment.mp3,25 Turkish _Alevi_ Song With _ Baglama_ Accompaniment,,1,1,5292000,44.1,120,0.43984126984126987,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/25 Turkish _Alevi_ Song With _ Baglama_ Accompaniment_MS2024.mat,25 Turkish _Alevi_ Song With _ Baglama_ Accompaniment,,world
79,"data/musicCorp/GarlandEncyclopedia/18 _Tengo Que Hacer Un Barquito_ (_i Have To Make A Little Boat_), Cueca Dance-Song.mp3","18 _Tengo Que Hacer Un Barquito_ (_i Have To Make A Little Boat_), Cueca Dance-Song",,1,1,4586400,44.1,104,0.2526984126984127,100,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/18 _Tengo Que Hacer Un Barquito_ (_i Have To Make A Little Boat_), Cueca Dance-Song_MS2024.mat","18 _Tengo Que Hacer Un Barquito_ (_i Have To Make A Little Boat_), Cueca Dance-Song",,world
80,data/musicCorp/GarlandEncyclopedia/10 Islamic Vocal Music.mp3,10 Islamic Vocal Music,,1,1,3175200,44.1,72,0.6465532879818594,64,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/10 Islamic Vocal Music_MS2024.mat,10 Islamic Vocal Music,,world
81,data/musicCorp/GarlandEncyclopedia/25 Bhangi Drumming In Madya Pradesh.mp3,25 Bhangi Drumming In Madya Pradesh,,0,1,3880800,44.1,88,0.45528344671201815,88,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/25 Bhangi Drumming In Madya Pradesh_MS2024.mat,25 Bhangi Drumming In Madya Pradesh,,world
82,data/musicCorp/GarlandEncyclopedia/19 Sounds Of A Tongan Nose-Blown Flute.mp3,19 Sounds Of A Tongan Nose-Blown Flute,,0,1,1764000,44.1,40,0.9622675736961451,36,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/19 Sounds Of A Tongan Nose-Blown Flute_MS2024.mat,19 Sounds Of A Tongan Nose-Blown Flute,,world
83,data/musicCorp/GarlandEncyclopedia/03 Inanga Chuchotee.mp3,03 Inanga Chuchotee,,1,1,5292000,44.1,120,0.26356009070294784,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/03 Inanga Chuchotee_MS2024.mat,03 Inanga Chuchotee,,world
84,data/musicCorp/GarlandEncyclopedia/8-35 Serbian Dance.mp3,8-35 Serbian Dance,,0,1,2822400,44.1,64,0.37170068027210884,64,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-35 Serbian Dance_MS2024.mat,8-35 Serbian Dance,,world
85,data/musicCorp/GarlandEncyclopedia/23 Kurdish Epic Song.mp3,23 Kurdish Epic Song,,1,1,4939200,44.1,112,0.846530612244898,104,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/23 Kurdish Epic Song_MS2024.mat,23 Kurdish Epic Song,,world
86,data/musicCorp/GarlandEncyclopedia/8-18 France.mp3,8-18 France,,1,1,2116800,44.1,48,0.8176190476190476,48,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-18 France_MS2024.mat,8-18 France,,world
87,data/musicCorp/GarlandEncyclopedia/02 Jor Improv On Vicitra Vina In Rag Bairagi.mp3,02 Jor Improv On Vicitra Vina In Rag Bairagi,,0,1,5292000,44.1,120,0.5034240362811792,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/02 Jor Improv On Vicitra Vina In Rag Bairagi_MS2024.mat,02 Jor Improv On Vicitra Vina In Rag Bairagi,,world
88,data/musicCorp/GarlandEncyclopedia/11 Turaeg Tihadanaren.mp3,11 Turaeg Tihadanaren,,1,441001,5380200,44.1,112,0.08673469387755102,104,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/11 Turaeg Tihadanaren_MS2024.mat,11 Turaeg Tihadanaren,,world
89,data/musicCorp/GarlandEncyclopedia/10 Maninka Duwa Praise Song.mp3,10 Maninka Duwa Praise Song,,1,1,3528000,44.1,80,0.4543764172335601,72,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/10 Maninka Duwa Praise Song_MS2024.mat,10 Maninka Duwa Praise Song,,world
90,data/musicCorp/GarlandEncyclopedia/07 Kyo Classical Song (Burma).mp3,07 Kyo Classical Song (Burma),,1,1,5292000,44.1,120,0.38988662131519275,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/07 Kyo Classical Song (Burma)_MS2024.mat,07 Kyo Classical Song (Burma),,world
91,data/musicCorp/GarlandEncyclopedia/27 _Kaulilua I Ke Anu Wai Ale_ Ale_ Hawaiian Dance-Song (Hula Pahu).mp3,27 _Kaulilua I Ke Anu Wai Ale_ Ale_ Hawaiian Dance-Song (Hula Pahu),,1,1,5292000,44.1,120,0.6459183673469387,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/27 _Kaulilua I Ke Anu Wai Ale_ Ale_ Hawaiian Dance-Song (Hula Pahu)_MS2024.mat,27 _Kaulilua I Ke Anu Wai Ale_ Ale_ Hawaiian Dance-Song (Hula Pahu),,world
92,data/musicCorp/GarlandEncyclopedia/8-04 Saami Joik.mp3,8-04 Saami Joik,,1,1,2116800,44.1,48,0.9585714285714285,48,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-04 Saami Joik_MS2024.mat,8-04 Saami Joik,,world
93,data/musicCorp/GarlandEncyclopedia/41 _Jourur Tak Armej_ Marshallese Staff-Dance Music (Jebwa).mp3,41 _Jourur Tak Armej_ Marshallese Staff-Dance Music (Jebwa),,1,1,2998800,44.1,68,0.4552154195011338,68,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/41 _Jourur Tak Armej_ Marshallese Staff-Dance Music (Jebwa)_MS2024.mat,41 _Jourur Tak Armej_ Marshallese Staff-Dance Music (Jebwa),,world
94,"data/musicCorp/GarlandEncyclopedia/08 _Pale (H)Ip_m_ (This Is A Shell), Baluan Lullaby.mp3","08 _Pale (H)Ip_m_ (This Is A Shell), Baluan Lullaby",,1,1,1234800,44.1,28,0.9254195011337868,28,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/08 _Pale (H)Ip_m_ (This Is A Shell), Baluan Lullaby_MS2024.mat","08 _Pale (H)Ip_m_ (This Is A Shell), Baluan Lullaby",,world
95,data/musicCorp/GarlandEncyclopedia/32 Like A Hen Pheasant Chased By A Hawk.mp3,32 Like A Hen Pheasant Chased By A Hawk,,1,1,5292000,44.1,120,0.3426530612244898,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/32 Like A Hen Pheasant Chased By A Hawk_MS2024.mat,32 Like A Hen Pheasant Chased By A Hawk,,world
96,data/musicCorp/GarlandEncyclopedia/21 Huayno (Andean Dance-Song).mp3,21 Huayno (Andean Dance-Song),,0,1,5292000,44.1,120,0.2507936507936508,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/21 Huayno (Andean Dance-Song)_MS2024.mat,21 Huayno (Andean Dance-Song),,world
97,data/musicCorp/GarlandEncyclopedia/29 Danza De Corpus (Corpus Christi Dance).mp3,29 Danza De Corpus (Corpus Christi Dance),,0,1,3704400,44.1,84,0.27444444444444444,80,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/29 Danza De Corpus (Corpus Christi Dance)_MS2024.mat,29 Danza De Corpus (Corpus Christi Dance),,world
98,"data/musicCorp/GarlandEncyclopedia/34 Telugu Epic Narrative Song, Bobbili Yuddha Katha _ _Story Of The Battle Of Bobb.mp3","34 Telugu Epic Narrative Song, Bobbili Yuddha Katha _ _Story Of The Battle Of Bobb",,1,1,4939200,44.1,112,0.273015873015873,112,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/34 Telugu Epic Narrative Song, Bobbili Yuddha Katha _ _Story Of The Battle Of Bobb_MS2024.mat","34 Telugu Epic Narrative Song, Bobbili Yuddha Katha _ _Story Of The Battle Of Bobb",,world
99,data/musicCorp/GarlandEncyclopedia/02 Yangguan Sandie.mp3,02 Yangguan Sandie,,0,1,5292000,44.1,120,0.8626530612244898,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/02 Yangguan Sandie_MS2024.mat,02 Yangguan Sandie,,world
100,data/musicCorp/GarlandEncyclopedia/8-14 Denmark_ Sailor_s Lovesong.mp3,8-14 Denmark_ Sailor_s Lovesong,,1,1,2822400,44.1,64,0.9210204081632654,60,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-14 Denmark_ Sailor_s Lovesong_MS2024.mat,8-14 Denmark_ Sailor_s Lovesong,,world
101,data/musicCorp/GarlandEncyclopedia/25 Excerpt From Dozyozi [Dojoji].mp3,25 Excerpt From Dozyozi [Dojoji],,1,1,5292000,44.1,120,0.19707482993197278,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/25 Excerpt From Dozyozi [Dojoji]_MS2024.mat,25 Excerpt From Dozyozi [Dojoji],,world
102,"data/musicCorp/GarlandEncyclopedia/15 Berber Warrior Dance, Taskiwin, From The Anti-Atlas.mp3","15 Berber Warrior Dance, Taskiwin, From The Anti-Atlas",,0,1,4233600,44.1,96,0.8498412698412698,96,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/15 Berber Warrior Dance, Taskiwin, From The Anti-Atlas_MS2024.mat","15 Berber Warrior Dance, Taskiwin, From The Anti-Atlas",,world
103,"data/musicCorp/GarlandEncyclopedia/23 _No Lo Cuentes A Nadie_ (_Don_t Tell Anyone_), Huayno.mp3","23 _No Lo Cuentes A Nadie_ (_Don_t Tell Anyone_), Huayno",,0,1,5292000,44.1,120,0.22979591836734695,120,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/23 _No Lo Cuentes A Nadie_ (_Don_t Tell Anyone_), Huayno_MS2024.mat","23 _No Lo Cuentes A Nadie_ (_Don_t Tell Anyone_), Huayno",,world
104,data/musicCorp/GarlandEncyclopedia/12 Dry Funeral Song Of The Kota Tribe.mp3,12 Dry Funeral Song Of The Kota Tribe,,1,1,2822400,44.1,64,0.24006802721088435,60,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/12 Dry Funeral Song Of The Kota Tribe_MS2024.mat,12 Dry Funeral Song Of The Kota Tribe,,world
105,data/musicCorp/GarlandEncyclopedia/11 East Javanese Gamelan Piece _Srempeg_ (Java).mp3,11 East Javanese Gamelan Piece _Srempeg_ (Java),,0,1,5292000,44.1,120,0.5597505668934241,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/11 East Javanese Gamelan Piece _Srempeg_ (Java)_MS2024.mat,11 East Javanese Gamelan Piece _Srempeg_ (Java),,world
106,data/musicCorp/GarlandEncyclopedia/48 Samoan Homemade Ukulele.mp3,48 Samoan Homemade Ukulele,,0,1,1764000,44.1,40,0.6087528344671201,36,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/48 Samoan Homemade Ukulele_MS2024.mat,48 Samoan Homemade Ukulele,,world
107,"data/musicCorp/GarlandEncyclopedia/34 _Los Coros De San Miguel_ (_The Choruses Of Saint Michael_), Salve With Drums In The Style Of The Southwest Dominican Republic.mp3","34 _Los Coros De San Miguel_ (_The Choruses Of Saint Michael_), Salve With Drums In The Style Of The Southwest Dominican Republic",,1,1,2293200,44.1,52,0.3028798185941043,52,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/34 _Los Coros De San Miguel_ (_The Choruses Of Saint Michael_), Salve With Drums In The Style Of The Southwest Dominican Republic_MS2024.mat","34 _Los Coros De San Miguel_ (_The Choruses Of Saint Michael_), Salve With Drums In The Style Of The Southwest Dominican Republic",,world
108,data/musicCorp/GarlandEncyclopedia/09 Islamic Vocal Music.mp3,09 Islamic Vocal Music,,1,1,5292000,44.1,120,0.5566666666666666,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/09 Islamic Vocal Music_MS2024.mat,09 Islamic Vocal Music,,world
109,"data/musicCorp/GarlandEncyclopedia/20 Dortn, Dortn Ibern Vasserl.mp3","20 Dortn, Dortn Ibern Vasserl",,1,1,5292000,44.1,120,0.5370521541950113,120,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/20 Dortn, Dortn Ibern Vasserl_MS2024.mat","20 Dortn, Dortn Ibern Vasserl",,world
110,data/musicCorp/GarlandEncyclopedia/8-29 Ukraine.mp3,8-29 Ukraine,,1,1,4057200,44.1,92,0.3259183673469388,92,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-29 Ukraine_MS2024.mat,8-29 Ukraine,,world
111,data/musicCorp/GarlandEncyclopedia/02 Tannese Conch-Shell Trio.mp3,02 Tannese Conch-Shell Trio,,0,1,1411200,44.1,32,0.565374149659864,32,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/02 Tannese Conch-Shell Trio_MS2024.mat,02 Tannese Conch-Shell Trio,,world
112,data/musicCorp/GarlandEncyclopedia/26 _La Catira_ (_The Light-Haired Woman_).mp3,26 _La Catira_ (_The Light-Haired Woman_),,0,1,5292000,44.1,120,0.3042403628117914,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/26 _La Catira_ (_The Light-Haired Woman_)_MS2024.mat,26 _La Catira_ (_The Light-Haired Woman_),,world
113,data/musicCorp/GarlandEncyclopedia/09 Lan Huahua.mp3,09 Lan Huahua,,1,1,4586400,44.1,104,0.5614512471655329,100,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/09 Lan Huahua_MS2024.mat,09 Lan Huahua,,world
114,data/musicCorp/GarlandEncyclopedia/16 Palestinian Folk Song.mp3,16 Palestinian Folk Song,,1,1,4586400,44.1,104,0.6394557823129252,100,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/16 Palestinian Folk Song_MS2024.mat,16 Palestinian Folk Song,,world
115,data/musicCorp/GarlandEncyclopedia/11 Huli Ceremonial Music.mp3,11 Huli Ceremonial Music,,1,1,2646000,44.1,60,0.5022448979591837,52,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/11 Huli Ceremonial Music_MS2024.mat,11 Huli Ceremonial Music,,world
116,data/musicCorp/GarlandEncyclopedia/21 Yagibusi _Song From Yagi_ (Japanese folk song).mp3,21 Yagibusi _Song From Yagi_ (Japanese folk song),,1,1,5292000,44.1,120,0.41077097505668936,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/21 Yagibusi _Song From Yagi_ (Japanese folk song)_MS2024.mat,21 Yagibusi _Song From Yagi_ (Japanese folk song),,world
117,data/musicCorp/GarlandEncyclopedia/30 Ch_un-hyang-ka _Song Of Spirit Fragrance_.mp3,30 Ch_un-hyang-ka _Song Of Spirit Fragrance_,,1,1,3880800,44.1,88,0.6056235827664399,84,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/30 Ch_un-hyang-ka _Song Of Spirit Fragrance__MS2024.mat,30 Ch_un-hyang-ka _Song Of Spirit Fragrance_,,world
118,data/musicCorp/GarlandEncyclopedia/12 Were You There_.mp3,12 Were You There_,,1,1,5292000,44.1,120,0.8318367346938775,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/12 Were You There__MS2024.mat,12 Were You There_,,world
119,data/musicCorp/GarlandEncyclopedia/01 The Green Lotus.mp3,01 The Green Lotus,,0,1,4233600,44.1,96,0.6549206349206349,96,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/01 The Green Lotus_MS2024.mat,01 The Green Lotus,,world
120,data/musicCorp/GarlandEncyclopedia/02 Turkish Mevlevi.mp3,02 Turkish Mevlevi,,1,1,6526800,44.1,148,0.8714285714285714,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/02 Turkish Mevlevi_MS2024.mat,02 Turkish Mevlevi,,world
121,data/musicCorp/GarlandEncyclopedia/34 Asmat _Ghost-Celebrating Song_.mp3,34 Asmat _Ghost-Celebrating Song_,,1,1,3704400,44.1,84,0.5847392290249434,80,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/34 Asmat _Ghost-Celebrating Song__MS2024.mat,34 Asmat _Ghost-Celebrating Song_,,world
122,data/musicCorp/GarlandEncyclopedia/28 _Cuaulleros_.mp3,28 _Cuaulleros_,,0,1,4762800,44.1,108,0.2470294784580499,108,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/28 _Cuaulleros__MS2024.mat,28 _Cuaulleros_,,world
123,data/musicCorp/GarlandEncyclopedia/06 Clay And Frelinghuysen.mp3,06 Clay And Frelinghuysen,,1,1,3528000,44.1,80,0.3412698412698413,72,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/06 Clay And Frelinghuysen_MS2024.mat,06 Clay And Frelinghuysen,,world
124,data/musicCorp/GarlandEncyclopedia/19 Vigala Reinlender.mp3,19 Vigala Reinlender,,0,1,5115600,44.1,116,0.9963945578231292,116,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/19 Vigala Reinlender_MS2024.mat,19 Vigala Reinlender,,world
125,data/musicCorp/GarlandEncyclopedia/13 Shadow Play Music _Telaga Dundan_ (Lombok).mp3,13 Shadow Play Music _Telaga Dundan_ (Lombok),,0,1,5292000,44.1,120,0.5658503401360544,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/13 Shadow Play Music _Telaga Dundan_ (Lombok)_MS2024.mat,13 Shadow Play Music _Telaga Dundan_ (Lombok),,world
126,data/musicCorp/GarlandEncyclopedia/47 _Kauririko Ma Barebareiko_ Kiribati Contemporary Dance-Song.mp3,47 _Kauririko Ma Barebareiko_ Kiribati Contemporary Dance-Song,,1,1,2822400,44.1,64,0.6006802721088436,64,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/47 _Kauririko Ma Barebareiko_ Kiribati Contemporary Dance-Song_MS2024.mat,47 _Kauririko Ma Barebareiko_ Kiribati Contemporary Dance-Song,,world
127,data/musicCorp/GarlandEncyclopedia/30 Uzbek Classical Song.mp3,30 Uzbek Classical Song,,1,1,5292000,44.1,120,0.3710204081632653,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/30 Uzbek Classical Song_MS2024.mat,30 Uzbek Classical Song,,world
128,data/musicCorp/GarlandEncyclopedia/26 Nozakimura.mp3,26 Nozakimura,,1,1,5292000,44.1,120,0.5135374149659864,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/26 Nozakimura_MS2024.mat,26 Nozakimura,,world
129,"data/musicCorp/GarlandEncyclopedia/03 Warao Male Wisiratu Shaman_s Curing Song, Excerpt.mp3","03 Warao Male Wisiratu Shaman_s Curing Song, Excerpt",,1,1,3880800,44.1,88,0.26317460317460317,88,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/03 Warao Male Wisiratu Shaman_s Curing Song, Excerpt_MS2024.mat","03 Warao Male Wisiratu Shaman_s Curing Song, Excerpt",,world
130,data/musicCorp/GarlandEncyclopedia/8-10 Ireland_ Jig _All The Ways To Go_.mp3,8-10 Ireland_ Jig _All The Ways To Go_,,1,1,3351600,44.1,76,0.7296598639455782,76,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-10 Ireland_ Jig _All The Ways To Go__MS2024.mat,8-10 Ireland_ Jig _All The Ways To Go_,,world
131,data/musicCorp/GarlandEncyclopedia/17 Palestinian Line Dance.mp3,17 Palestinian Line Dance,,1,1,2293200,44.1,52,0.35723356009070295,48,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/17 Palestinian Line Dance_MS2024.mat,17 Palestinian Line Dance,,world
132,data/musicCorp/GarlandEncyclopedia/8-03 Traveller_s Song _The Galloway Hills_.mp3,8-03 Traveller_s Song _The Galloway Hills_,,1,1,4586400,44.1,104,0.30383219954648527,104,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-03 Traveller_s Song _The Galloway Hills__MS2024.mat,8-03 Traveller_s Song _The Galloway Hills_,,world
133,data/musicCorp/GarlandEncyclopedia/31 Uzbek Classical Instrumental Dance Piece.mp3,31 Uzbek Classical Instrumental Dance Piece,,0,1,5292000,44.1,120,0.5381859410430839,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/31 Uzbek Classical Instrumental Dance Piece_MS2024.mat,31 Uzbek Classical Instrumental Dance Piece,,world
134,data/musicCorp/GarlandEncyclopedia/14 Solo Fanbei Chant.mp3,14 Solo Fanbei Chant,,1,1,4410000,44.1,100,0.8194331065759637,88,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/14 Solo Fanbei Chant_MS2024.mat,14 Solo Fanbei Chant,,world
135,"data/musicCorp/GarlandEncyclopedia/14 Berber Wedding Song, Ahwash, From The Anti-Atlas.mp3","14 Berber Wedding Song, Ahwash, From The Anti-Atlas",,1,1,5292000,44.1,120,0.582312925170068,120,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/14 Berber Wedding Song, Ahwash, From The Anti-Atlas_MS2024.mat","14 Berber Wedding Song, Ahwash, From The Anti-Atlas",,world
136,data/musicCorp/GarlandEncyclopedia/11 Giririjasuta.mp3,11 Giririjasuta,,1,1,5292000,44.1,120,0.23870748299319727,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/11 Giririjasuta_MS2024.mat,11 Giririjasuta,,world
137,data/musicCorp/GarlandEncyclopedia/8-30 Romanian Table Song.mp3,8-30 Romanian Table Song,,0,1,2116800,44.1,48,0.09566893424036281,44,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-30 Romanian Table Song_MS2024.mat,8-30 Romanian Table Song,,world
138,data/musicCorp/GarlandEncyclopedia/08 Xintianyou _Sing As You Wish_.mp3,08 Xintianyou _Sing As You Wish_,,1,1,4057200,44.1,92,0.6942176870748299,92,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/08 Xintianyou _Sing As You Wish__MS2024.mat,08 Xintianyou _Sing As You Wish_,,world
139,data/musicCorp/GarlandEncyclopedia/23 Hagoromo.mp3,23 Hagoromo,,1,1,4586400,44.1,104,0.23405895691609976,104,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/23 Hagoromo_MS2024.mat,23 Hagoromo,,world
140,data/musicCorp/GarlandEncyclopedia/21 Heartsong Aria.mp3,21 Heartsong Aria,,1,1,5292000,44.1,120,0.3551700680272109,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/21 Heartsong Aria_MS2024.mat,21 Heartsong Aria,,world
141,data/musicCorp/GarlandEncyclopedia/04 Moonlight On The Ching Yang River.mp3,04 Moonlight On The Ching Yang River,,0,1,5292000,44.1,120,0.42927437641723354,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/04 Moonlight On The Ching Yang River_MS2024.mat,04 Moonlight On The Ching Yang River,,world
